Drug Name,ATC1,ATC2,ATC3,ATC4,ATC5,ATC6,ATC7,ATC8,ATC9,ATC10,ATC11,Comment
CARDURA - 2 MG COMPRESSE,C02CA04,,,,,,,,,,,
CLATRATE,A12AX,,,,,,,,,,,
SENOKOT /01226001/,A06AB ,,,,,,,,,,,
ASPIRIN (+) CLOPIDOGREL BISULFATE (ASPIRIN (+) CLOPIDOGREL BISULFATE),B01AC30 ,,,,,,,,,,,
UNKNOWN MEDICATION LIST,,,,,,,,,,,,
LIVER ANTIOXIDENTS,,,,,,,,,,,,
nitrendipin,C08CA08,,,,,,,,,,,
DESLORATIDINE,R06AX27,,,,,,,,,,,
LEVOTENSION,C08CA01,,,,,,,,,,,
DONAPEZIL,N06DA02,,,,,,,,,,,
FUROSEMIDE (TABLETS),C03CA01,,,,,,,,,,,
VITAMIN E /00110501/,A11HA03,,,,,,,,,,,
FIBER CHEWY,,,,,,,,,,,,
DEXAMETHASONE W/TOBRAMYCIN,S01CA01,,,,,,,,,,,
ZALDIAR (TRAMADOL CHLORHYDRATE PARACETAMOL),N02AX52,,,,,,,,,,,
ACETYLSALICYLIC ACID/MAGNESIUM HYDROXIDE,N02BA51,,,,,,,,,,,
PICATO ( INGENOL MEBUTATE) (0.015 %),D06BX02,,,,,,,,,,,
DITAMIN,N02CA01,,,,,,,,,,,
MAGNESIUM WITH RIBOFLAVIN,,,,,,,,,,,,
VIT C (RHIPS (REDOX),A11GA01,,,,,,,,,,,
SALURES-K,C03AB01 ,,,,,,,,,,,
NEW CHAPTER BONE STRENGTH WITH CALCIUM AND MAGNESIUM,,,,,,,,,,,,
INSULIN PUMP WITH NOVOLOG,A10AB05 ,,,,,,,,,,,
"PREMINENT (HYDROCHLOROTHIAZIDE, LOSARTAN POTASSIUM)",C09DA01,,,,,,,,,,,
WELLBUTRIN ER (BUPROPION),N06AX12,,,,,,,,,,,
"CALCIUM W/VITAMIN D [CALCIUM CARBONATE,COLECALCIFEROL]",A12AX,,,,,,,,,,,
FLUTICASONE FUROATE (FLUTICASONE FUROATE),R01AD12,R03BA09,,,,,,,,,,
GELATIN SPONGE PARTICLES (GELATIN),B02BC01,,,,,,,,,,,
BLACKMORES PBF FORMULA,,,,,,,,,,,,
DORMICUM FOR INJECTION,N05CD08,,,,,,,,,,,
Rantidine HCL,A02BA02,,,,,,,,,,,
EUPHYLLINE /00003701/,R03DA04,,,,,,,,,,,
