substance,ATC1,ATC2,ATC3,ATC4,ATC5,ATC6,ATC7,ATC8,ATC9,ATC10,ATC11,Comment
VITACLEAR VITAMINS,A11,,,,,,,,,,,
ALPHA BLOCKERS,C07AG,,,,,,,,,,,
MORPHINE INTRATHECA 15MG/ML,N02AA01  ,,,,,,,,,,,
FLECTOR EP,D11AX18  ,,,,,,,,,,,
GANCYCLOVIR,J05AB06,S01AD09,,,,,,,,,,
TERCONAZOLE VAGINAL CREAM 0.8%,G01AG02,,,,,,,,,,,
"AVASTIN, GENENTECH",L01XC07,,,,,,,,,,,
MONETASONE CREAM (NON-ABBOTT),D07AC13,D07XC03,,,,,,,,,,
Dlitazem,C05AE03,C08DB01,,,,,,,,,,
POVIDONE-IODINE (POVIDONE-IODINE),D08AG02,D09AA09,D11AC06,G01AX11,R02AA15,S01AX18,,,,,,
AMOXICILINA /00249603/,J01CA04,,,,,,,,,,,
:RAMIPRIL(RAMIPRIL),C09AA05,,,,,,,,,,,
CALCIUM CHLORATUM,A12AA07,B05XA07,G04BA03,,,,,,,,,
HYDROMORPHONE HYDROCHLORIDE.,N02AA03,,,,,,,,,,,
VYVANCE XR,N06BA12,,,,,,,,,,,
"MELATONIN (MELATONIN) CAPSULE, 1 MG",N05CH01,,,,,,,,,,,
PROPOXYPHENE + ACETAMINOPHEN,N02AC54,N02BE51,,,,,,,,,,
NAPROSYN (NAPROXEN SODIUM ) (NAPROXEN SODIUM),M01AE02,M02AA12,,,,,,,,,,
CLOROM,J01FA09,,,,,,,,,,,
HYDRALOSIN' (HYDRALAZINE),C02DB02  ,C02DB01,,,,,,,,,,
DICLO /00372301/,D11AX18,M01AB05,M02AA15,S01BC03,,,,,,,,
INCIVAK 375 MG,,,,,,,,,,,,
QUINOLONES,C01DB,J01MA,J01MB,S01AE,,,,,,,,
SINUS SPRAY,,,,,,,,,,,,
POT,,,,,,,,,,,,
TROMBYL 75 MG TABLET,A01AD05,B01AC06,N02BA01,,,,,,,,,
ALFADIL (DOXAZOSIN MESYLATE),C02CA04,,,,,,,,,,,
BUCLIZINE,R06AE01,,,,,,,,,,,
DIPHENOXYLATE WITH ATROPINNE,A07DA01,,,,,,,,,,,
NIGHTTIME SLEEP AID,,,,,,,,,,,,
Anastrozole (Watson Laboratories),L02BG03,,,,,,,,,,,
Tetracosactrin,H01AA02,,,,,,,,,,,
ALOSITOL (ALLOPURINOL) TABLET,M04AA01,,,,,,,,,,,
OTREXUP,L01BA01,L04AX03,,,,,,,,,,
ATAZANAVIR (ATAZANAVIR) (ATAZANZVIR),J05AE08  ,,,,,,,,,,,
SYNACORT,A01AC03  ,A07EA02  ,C05AA01,D07AA02,D07XA01,H02AB09,S01BA02,S01CB03,S02BA01,,,
SYNTHROID 50 MG,H03AA01,,,,,,,,,,,
Feta-tab CR,,,,,,,,,,,,
PRESCRIPTION FISH OIL,,,,,,,,,,,,
NICERGOLINE (NICERGOLINE),C04AE02,,,,,,,,,,,
Glucosamine msm,M01AX05,,,,,,,,,,,
NATURE BOUNTY WATER PILL,,,,,,,,,,,,
OBINUTUZUMAB,L01XC15,,,,,,,,,,,
X-GEVA,M05BX04,,,,,,,,,,,
Simvabeta,C10AA01,,,,,,,,,,,
METOPROLOL (METOPROLOL)(UKNOWN),C07AB02,,,,,,,,,,,
PREGABALINUM,N03AX16,,,,,,,,,,,
Lanton 30mg,A02BC03,,,,,,,,,,,
ADVIL COLD AND FLU,M01AE51,R06AA52,,,,,,,,,,
RAMIPRIL AL,C09AA05,,,,,,,,,,,
ICAPS MV,,,,,,,,,,,,
"SUPER B COMPLEX [VIT C,VIT H,B5,CHOL,B12,B9,INOSIT,B3,B6,B2,B1]",A11BA,,,,,,,,,,,
SULFAMETHOXAZOLE / TRIMETHOPRIM,J01EE01,,,,,,,,,,,
Desametasone-Hospira,A01AC02,C05AA09,D07AB19,D07XB05,D10AA03,H02AB02,R01AD03,S01BA01,S01CB01,S02BA06,S03BA01,
SHAKLEE PAIN RELIEVER,,,,,,,,,,,,
BACLOFEN (WATSON LABORATORIES),M03BX01,,,,,,,,,,,
SILVADENE (SULFADIAZINE SILVER),D06BA01,,,,,,,,,,,
SurTussin,,,,,,,,,,,,
Choline salicylate,N02BA03,,,,,,,,,,,
SULFAMETHOXAZOLE/TRIMETHOPRIM LIQUID,J01EE01,,,,,,,,,,,
Apo-Warfarin,B01AA03,,,,,,,,,,,
CLARITH DRY SYRUP,,,,,,,,,,,,
PETHIDINE,N02AB02,,,,,,,,,,,
GABAPENTIN GLENMARK,N03AX12,,,,,,,,,,,
TRIMETAPHAN,C02BA01,,,,,,,,,,,
BACLOFEN 10 MG TAB 2 IN 24 HRS,M03BX01,,,,,,,,,,,
Polery,,,,,,,,,,,,
NAPROZEN,G02CC02,M01AE02,M02AA12,,,,,,,,,
NORCO (HYDROCODONE-ACETAMINOPHEN 5-325),N02AA59,,,,,,,,,,,
AMLODIPIN 10,C08CA01,,,,,,,,,,,
ESOMEPRAZOL RATIOPHARM,A02BC05,,,,,,,,,,,
SENEKOT S (COLOXYL WITH SENNA),A06AG10,,,,,,,,,,,
VENLAFAXINE (EFFEXOR XR),N06AX16,,,,,,,,,,,
DOBUTAMINE HYDROCHLORIDE.,C01CA07,,,,,,,,,,,
ACETAMINOPHEN\OXYCODONE\OXYCODONE HYDROCHLORIDE,N02AA55,N02BE71,,,,,,,,,,
RAMISTAR,C09AA05,,,,,,,,,,,
VASODIP (LERCANIDIPINE),C08CA13,,,,,,,,,,,
LOPERAMIDE HYDROCHLORIDE SANDOZ,A07DA03,,,,,,,,,,,
EFFEXIR XR,,,,,,,,,,,,
ATORVASTATIN APOTEX,C10AA05,,,,,,,,,,,
URIZIA,G04CA53,,,,,,,,,,,
PANITUMAB,L01XC08,,,,,,,,,,,
Carbomer 980,S01XA20  ,,,,,,,,,,,
SPIRIVA (TIOTROPIUMBROMIDE),R03BB04,,,,,,,,,,,
"TIVC VS TIV INJECTION, INTRAMUSCULAR",,,,,,,,,,,,
LEUCOVORINA,B03BB01  ,,,,,,,,,,,
PYRIDOXIN LECIVA,A11HA02,,,,,,,,,,,
PERATSIN,N05AB03,,,,,,,,,,,
topotecan hydrochloride,L01XX17,,,,,,,,,,,
VINCRLSTINE,L01CA02,,,,,,,,,,,
ALIGN PROBIOTIC,,,,,,,,,,,,
VICTOZA 18 MG/ 3ML,A10BX07,,,,,,,,,,,
Duphaston 10 mg film coated tablets,G03DB01,,,,,,,,,,,
PROPYL P-XYLENE,,,,,,,,,,,,
CEFAZOLIN SODIUM HYDRATE,J01DB04,,,,,,,,,,,
IBUPROFEN(IBUPROFEN) (IBUPROFEN),C01EB16,G02CC01,M01AE01,M02AA13,R02AX02,,,,,,,
Hydrochlorothiazide + triamterene,C03EA01,,,,,,,,,,,
QUETIAPINA QUALIGEN,N05AH04,,,,,,,,,,,
toprolol,C07AB02,,,,,,,,,,,
CARDURA - 2 MG COMPRESSE,C02CA04,,,,,,,,,,,
CLATRATE,A02AC01,A12AA04,,,,,,,,,,
SENOKOT /01226001/,A06AB ,,,,,,,,,,,
ASPIRIN (+) CLOPIDOGREL BISULFATE (ASPIRIN (+) CLOPIDOGREL BISULFATE),B01AC30,,,,,,,,,,,
UNKNOWN MEDICATION LIST,,,,,,,,,,,,
LIVER ANTIOXIDENTS,,,,,,,,,,,,
nitrendipin,C08CA08,,,,,,,,,,,
DESLORATIDINE,R06AX27,,,,,,,,,,,
LEVOTENSION,C08CA01,,,,,,,,,,,
DONAPEZIL,N06DA02  ,,,,,,,,,,,
FUROSEMIDE (TABLETS),C03CA01,,,,,,,,,,,
VITAMIN E /00110501/,A11HA03,,,,,,,,,,,
FIBER CHEWY,,,,,,,,,,,,
DEXAMETHASONE W/TOBRAMYCIN,S01CA01,,,,,,,,,,,
ZALDIAR (TRAMADOL CHLORHYDRATE PARACETAMOL),N02AX52,N02BE71,,,,,,,,,,
ACETYLSALICYLIC ACID/MAGNESIUM HYDROXIDE,N02BA51,,,,,,,,,,,
PICATO ( INGENOL MEBUTATE) (0.015 %),D06BX02,,,,,,,,,,,
DITAMIN,N02CA01,,,,,,,,,,,
MAGNESIUM WITH RIBOFLAVIN,A11 ,A12CC,,,,,,,,,,
VIT C (RHIPS (REDOX),A11GA01  ,,,,,,,,,,,
SALURES-K,C03AB01,,,,,,,,,,,
NEW CHAPTER BONE STRENGTH WITH CALCIUM AND MAGNESIUM,,,,,,,,,,,,
INSULIN PUMP WITH NOVOLOG,A10AD06,,,,,,,,,,,
"PREMINENT (HYDROCHLOROTHIAZIDE, LOSARTAN POTASSIUM)",C09DA01,C03AX01,,,,,,,,,,
WELLBUTRIN ER (BUPROPION),N06AX12,,,,,,,,,,,
"CALCIUM W/VITAMIN D [CALCIUM CARBONATE,COLECALCIFEROL]",A12AX ,,,,,,,,,,,
FLUTICASONE FUROATE (FLUTICASONE FUROATE),R01AD12,R03BA09,,,,,,,,,,
GELATIN SPONGE PARTICLES (GELATIN),B05AA06  ,,,,,,,,,,,
BLACKMORES PBF FORMULA,,,,,,,,,,,,
DORMICUM FOR INJECTION,N05CD08,,,,,,,,,,,
Rantidine HCL,A02BA02,,,,,,,,,,,
EUPHYLLINE /00003701/,R03DA04,,,,,,,,,,,
