substance,ATC1,ATC2,ATC3,ATC4,ATC5,ATC6,ATC7,ATC8,ATC9,ATC10,ATC11,Comment
CUCURBITA PEPO,,,,,,,,,,,,
CUPRIC OXIDE,,,,,,,,,,,,
CYPROHEPTADINE HYDROCHLORIDE,R06AX02,,,,,,,,,,,
D-BIOTIN,A11HA05,,,,,,,,,,,
DACARBAZINE CITRATE,L01AX04,,,,,,,,,,,
DAPAGLIFLOZIN,A10BX09,,,,,,,,,,,
"DEXCHLORPHENIRAMINE MALEATE, GUAIFENESIN, PSEUDOEPHEDRINE SULPHATE",R06AB52,R01BA52,,,,,,,,,,
DIHYDROERGOCRYPTINE MESILATE,N04BC03,,,,,,,,,,,
"DIPHENHYDRAMINE, METHAQUALONE",D04AA32,R06AA02,N05CM01,,,,,,,,,
"DIPHENHYDRAMINE, PARACETAMOL",R06AA52,N02BE51,,,,,,,,,,
DISOPYRAMIDE,C01BA03,,,,,,,,,,,
DOLASETRON,A04AA04,,,,,,,,,,,
DOPEXAMINE,C01CA14,,,,,,,,,,,
DOXERCALCIFEROL,H05BX03,,,,,,,,,,,
DOXYCYCLINE CALCIUM,A01AB22,J01AA02,,,,,,,,,,
DRONEDARONE,C01BD07,,,,,,,,,,,
ECONAZOLE,D01AC03,G01AF05,,,,,,,,,,
EPOETIN THETA,B03XA01,,,,,,,,,,,
ETOFIBRATE,C10AB09,,,,,,,,,,,
EXENATIDE,A10BX04,,,,,,,,,,,
FENPIVERINIUM BROMIDE,A03AB21,,,,,,,,,,,
FERRIC HYDROXIDE POLYMALTOSE COMPLEX,B03AB05,B03AD04,,,,,,,,,,
FERUMOXYTOL,,,,,,,,,,,,
FLUBENDAZOLE,P02CA05,,,,,,,,,,,
FLUNISOLIDE,R01AD04,R03BA03,,,,,,,,,,
FLUSPIRILENE,N05AG01,,,,,,,,,,,
FLUTAMIDE,L02BB01,,,,,,,,,,,
FLUVASTATIN SODIUM,C10AA04,,,,,,,,,,,
FORMOTEROL FUMARATE,R03AC13,,,,,,,,,,,
FOSPHENYTOIN SODIUM,N03AB05,,,,,,,,,,,
FUMARATE DISODIUM,,,,,,,,,,,,
"FUROSEMIDE, SPIRONOLACTONE",C03EB01,,,,,,,,,,,
GAMMA-HYDROXYBUTYRIC ACID,N01AX11,N07XX04,,,,,,,,,,
GELSEMIUM,,,,,,,,,,,,
GESTODENE,,,,,,,,,,,,
GLIBORNURIDE,A10BB04,,,,,,,,,,,
GLUCOSAMINE HYDROCHLORIDE,M01AX05,,,,,,,,,,,
GLUTATHIONE (REDUCED),V03AB32,,,,,,,,,,,
GLUTEN,,,,,,,,,,,,
GLYCEROL PHENYLBUTYRATE,A16AX09,,,,,,,,,,,
GLYCYRRHIZIC ACID,A05BA08,,,,,,,,,,,
GRANISETRON HYDROCHLORIDE,A04AA02,,,,,,,,,,,
GRISEOFULVIN,D01AA08,D01BA01,,,,,,,,,,
HEPTAMINOL HYDROCHLORIDE,C01DX08,,,,,,,,,,,
HYDRALAZINE HYDROCHLORIDE BP,C02DB02,,,,,,,,,,,
HYDROCHLOROTHIAZIDE EP,C03AA03,,,,,,,,,,,
"HYDROCHLOROTHIAZIDE, RESERPINE",C02LA01,,,,,,,,,,,
"HYDROCORTISONE, MICONAZOLE",D01AC52,S01CA03,S02CA03,S03CA04,,,,,,,,
"HYDROFLUMETHIAZIDE, RESERPINE",C02LA01,C02AA52,,,,,,,,,,
