"drugname","TP","FP","FN","TN"
"CLONIDINE[C02AC01,N02CX02,S01EA04]","clonidine(C0009014)[N02CX02],
clonidine(C0009014)[C02AC01],
clonidine(C0009014)[S01EA04]","","",""
"CLOTRIMAZOLE[A01AB18,D01AC01,G01AF02]","clotrimazole(C0009074)[G01AF02],
clotrimazole(C0009074)[D01AC01],
clotrimazole(C0009074)[A01AB18]","","",""
"CODEINE-POLY(STYRENE-DIVINYLBENZENE)-SULFONATE[R05DA04]","codeine(C0009214)[R05DA04]","","",""
"COLESTIPOL HYDROCHLORIDE BP[C10AC02]","colestipol(C0009279)[C10AC02]","","",""
"COPTIS[]","","","","COPTIS (null)[null]"
"CUCURBITA PEPO[]","","","","CUCURBITA PEPO (null)[null]"
"CUPRIC OXIDE[]","","","","CUPRIC OXIDE (null)[null]"
"CYPROHEPTADINE HYDROCHLORIDE[R06AX02]","Cyproheptadine hydrochloride(C0354872)[R06AX02]","","",""
"D-BIOTIN[A11HA05]","D-BIOTIN(C0982111)[A11HA05]","","",""
"DACARBAZINE CITRATE[L01AX04]","Dacarbazine(C0010927)[L01AX04]","","",""
"DAPAGLIFLOZIN[A10BX09]","dapagliflozin(C2353951)[A10BX09]","","",""
"DEXCHLORPHENIRAMINE MALEATE, GUAIFENESIN, PSEUDOEPHEDRINE SULPHATE[R06AB52,R01BA52]","dexchlorpheniramine, combinations(C3653155)[R06AB52]","","DEXCHLORPHENIRAMINE MALEATE, GUAIFENESIN, PSEUDOEPHEDRINE SULPHATE(null)[R01BA52]",""
"DIHYDROERGOCRYPTINE MESILATE[N04BC03]","Dihydroergocryptine mesilate(C0086160)[N04BC03]","","",""
"DIPHENHYDRAMINE, METHAQUALONE[D04AA32,R06AA02,N05CM01]","Diphenhydramine(C0012522)[R06AA02],
Diphenhydramine(C0012522)[D04AA32],
METHAQUALONE(C0025627)[N05CM01]","","",""
"DIPHENHYDRAMINE, PARACETAMOL[R06AA52,N02BE51]","","acetaminophen(C0000970)[N02BE01],
Diphenhydramine(C0012522)[R06AA02],
Diphenhydramine(C0012522)[D04AA32]","DIPHENHYDRAMINE, PARACETAMOL(null)[R06AA52],
DIPHENHYDRAMINE, PARACETAMOL(null)[N02BE51]",""
"DISOPYRAMIDE[C01BA03]","Disopyramide(C0012702)[C01BA03]","","",""
"DOLASETRON[A04AA04]","dolasetron(C0209210)[A04AA04]","","",""
"DOPEXAMINE[C01CA14]","dopexamine(C0058702)[C01CA14]","","",""
"DOXERCALCIFEROL[H05BX03]","Doxercalciferol(C0043668)[H05BX03]","","",""
"DOXYCYCLINE CALCIUM[A01AB22,J01AA02]","Doxycycline(C0013090)[A01AB22],
Doxycycline(C0013090)[J01AA02]","calcium(C0006675)[A02AC01],
calcium(C0006675)[A12AA04]","",""
"DRONEDARONE[C01BD07]","Dronedarone(C0766326)[C01BD07]","","",""
"ECONAZOLE[D01AC03,G01AF05]","Econazole(C0013547)[D01AC03],
Econazole(C0013547)[G01AF05]","","",""
"EPOETIN THETA[B03XA01]","Epoetin(C0014822)[B03XA01]","","",""
"ETOFIBRATE[C10AB09]","etofibrate(C0059869)[C10AB09]","","",""
"EXENATIDE[A10BX04]","exenatide(C0167117)[A10BX04]","","",""
"FENPIVERINIUM BROMIDE[A03AB21]","fenpiverinium(C0060190)[A03AB21]","","",""
"FERRIC HYDROXIDE POLYMALTOSE COMPLEX[B03AB05,B03AD04]","","ferric hydroxide(C0060236)[B03AB04]","FERRIC HYDROXIDE POLYMALTOSE COMPLEX(null)[B03AB05],
FERRIC HYDROXIDE POLYMALTOSE COMPLEX(null)[B03AD04]",""
"FERUMOXYTOL[]","","","","FERUMOXYTOL (null)[null]"
"FLUBENDAZOLE[P02CA05]","flubendazole(C0060477)[P02CA05]","","",""
"FLUNISOLIDE[R01AD04,R03BA03]","flunisolide(C0060501)[R01AD04],
flunisolide(C0060501)[R03BA03]","","",""
"FLUSPIRILENE[N05AG01]","Fluspirilene(C0016383)[N05AG01]","","",""
"FLUTAMIDE[L02BB01]","Flutamide(C0016384)[L02BB01]","","",""
"FLUVASTATIN SODIUM[C10AA04]","fluvastatin sodium(C0246203)[C10AA04]","","",""
"FORMOTEROL FUMARATE[R03AC13]","","","FORMOTEROL FUMARATE(null)[R03AC13]",""
"FOSPHENYTOIN SODIUM[N03AB05]","Fosphenytoin Sodium(C0284906)[N03AB05]","","",""
"FUMARATE DISODIUM[]","","","","FUMARATE DISODIUM (null)[null]"
"FUROSEMIDE, SPIRONOLACTONE[C03EB01]","furosemide, potassium-sparing agents(C3652969)[C03EB01]","furosemide, potassium(C1302002)[C03CB01],
furosemide, potassium(C1302002)[C03CA01]","",""
"GAMMA-HYDROXYBUTYRIC ACID[N01AX11,N07XX04]","","","GAMMA-HYDROXYBUTYRIC ACID(null)[N01AX11],
GAMMA-HYDROXYBUTYRIC ACID(null)[N07XX04]",""
"GELSEMIUM[]","","","","GELSEMIUM (null)[null]"
"GESTODENE[]","","","","GESTODENE (null)[null]"
"GLIBORNURIDE[A10BB04]","glibornuride(C0350998)[A10BB04]","","",""
"GLUCOSAMINE HYDROCHLORIDE[M01AX05]","glucosamine(C0017718)[M01AX05]","","",""
"GLUTATHIONE (REDUCED)[V03AB32]","glutathione(C0017817)[V03AB32]","","",""
"GLUTEN[]","","","","GLUTEN (null)[null]"
"GLYCEROL PHENYLBUTYRATE[A16AX09]","glycerol phenylbutyrate(C3490329)[A16AX09]","","",""
"GLYCYRRHIZIC ACID[A05BA08]","Glycyrrhizic Acid(C0061751)[A05BA08]","","",""
"GRANISETRON HYDROCHLORIDE[A04AA02]","Granisetron(C0061863)[A04AA02]","","",""
"GRISEOFULVIN[D01AA08,D01BA01]","Griseofulvin(C0018242)[D01BA01],
Griseofulvin(C0018242)[D01AA08]","","",""
"HEPTAMINOL HYDROCHLORIDE[C01DX08]","Heptaminol(C0019223)[C01DX08]","","",""
"HYDRALAZINE HYDROCHLORIDE BP[C02DB02]","Hydralazine(C0020223)[C02DB02]","","",""
"HYDROCHLOROTHIAZIDE EP[C03AA03]","Hydrochlorothiazide(C0020261)[C03AA03]","","",""
"HYDROCHLOROTHIAZIDE, RESERPINE[C02LA01]","reserpine and diuretics(C3653061)[C02LA01]","olmesartan medoxomil, amlodipine, hydrochlorothiazide(C2959419)[C09DX03],
olmesartan medoxomil, amlodipine, hydrochlorothiazide(C2959419)[C08CA01],
olmesartan medoxomil, amlodipine, hydrochlorothiazide(C2959419)[C03AA03],
olmesartan medoxomil, amlodipine, hydrochlorothiazide(C2959419)[C09CA08]","",""
"HYDROCORTISONE, MICONAZOLE[D01AC52,S01CA03,S02CA03,S03CA04]","hydrocortisone, antiinfectives(C3652907)[S01CA03],
hydrocortisone, antiinfectives(C3652907)[S02CA03],
hydrocortisone, antiinfectives(C3652907)[S03CA04],
miconazole, combinations(C3652839)[D01AC52]","hydrocortisone, antiseptics(C3652965)[D07BA04],
hydrocortisone butyrate, antiseptics(C3652963)[D07BB04]","",""
"HYDROFLUMETHIAZIDE, RESERPINE[C02LA01,C02AA52]","reserpine and diuretics(C3653061)[C02LA01]","","HYDROFLUMETHIAZIDE, RESERPINE(null)[C02AA52]",""
"TP:","99",,,
"FP:","23",,,
"FN:","13",,,
"TN:","24",,,
"Accuracy: ","0.774",,,
"Precision:","0.811",,,
"Recall (Sensitivity):","0.884",,,
"Specificity:","0.511",,,
"F-score:","0.846",,,
